Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Fixed telephone subscriptions,IT.MLT.MAIN,,,,,,,,,,,,,,,,,,,,,,,9000,10000,11000,12000,13055,13887,15718,17469,18712,19000,20400,21000,21500,27300,33576,33220,35064,36557,38100,37132,37132,37390,38003,38259,38651,38609,38461,36700,35040,,36000,35000,35000,35000,,,,35000,35000,
Africa Eastern and Southern,AFE,Fixed telephone subscriptions,IT.MLT.MAIN,802701,802701,802701,802701,802701,1000663,1002264,1002264,1002264,1002264,1266528,1268129,1268129,1268129,1268129,1607817,1701797,1800815,1917201,2054374,2208330,2402343,2602325,2775924,2897816,3090838,3376154,3568338,3817011,4092982,4385064,4587953,4651690,4849545,5110633,5456482,5854260,6396951,7025831,7659978,7408176,7597251,7973374,8411427,8604573,8355608,8492607,8795537,9005821,9448941,9456064,9210431,8944861,7647879,7586399,7689663,8320103,8230267,5317865,5319189,5330163,3217865
Afghanistan,AFG,Fixed telephone subscriptions,IT.MLT.MAIN,7700,7700,7700,7700,7700,9300,9300,9300,9300,9300,16000,16000,16000,16000,16000,21500,22200,22200,25300,25300,25800,31700,28000,29000,30000,31000,32000,33000,34000,35000,36200,37000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,33050,36700,,,,,,5130,16620,13509,90017,95769,101931,110000,114192,118769,127794,134636,145787,
Africa Western and Central,AFW,Fixed telephone subscriptions,IT.MLT.MAIN,42041,42041,42041,42041,42041,,74713,74713,74713,74713,,101339,101339,101339,101339,,,,,,,375001.1,378510,424576,449098,471369,501106,529050,554849,592908.5,659797,692452,764375,823937,899859,1001339,1092484,1184206,1343974,1525535,1792145,1995118,2183979,2312818,2559087,2807438,3386534,3411947,3210708,3741810,3367768,3164968,2941315,2925394,3055563,2943790,2871319,2652247,2531706,2431126,2612210,2225760
Angola,AGO,Fixed telephone subscriptions,IT.MLT.MAIN,6666,6666,6666,6666,6666,10000,10000,10000,10000,10000,13000,13000,13000,13000,13000,18000,19000,20000,25000,30000,36000,36700,49280,45890,46000,47350,48090,62000,65000,67000,70000,72000,48900,53300,53020,52740,52625,62279,65100,67200,64900,76800,80200,85043,94280,96760,98165,94294,114296,303179,281122,159485,208345,214950,287416,284925,304493,161070,171858,124726,119164,119826
Albania,ALB,Fixed telephone subscriptions,IT.MLT.MAIN,6845,6845,6845,6845,6845,13991,13991,13991,13991,13991,173000,173000,173000,173000,173000,21660,22500,23800,24700,26000,27300,29000,30000,31000,32000,33275,35000,36000,37000,38550,40000,41500,44848,43000,41500,42150,63850,86800,115675,140392,152687,197496,220000,255000,274557,278973,256000,300000,343591,363000,333066,338844,312000,281200,235734,226718,248640,246720,248631,242859,223469,197690
Andorra,AND,Fixed telephone subscriptions,IT.MLT.MAIN,,,,,,500,500,500,500,500,1890,1890,1890,1890,1890,3857,4174,4713,5543,6329,7026,8944,10385,12000,13000,14000,15588,16885,17911,19427,21502,23416,25302,26760,28362,29795,30964,31980,32946,33607,34215,34505,34922,35171,35040,35444,36507,37153,37375,37882,38171,38401,38320,38572,38237,38850,38694,38411,39375,39657,40000,
Arab World,ARB,Fixed telephone subscriptions,IT.MLT.MAIN,,,,,,,534985,534985,534985,534985,895016,904692,904692,904692,904692,1105339,1188602,1352015,1526373,1779248,,2847188,3630129,4043409,4442616,5059805,5572491,6009086,6453138,6994746,7657211,8368752,9242273,9996852,10836857,11808488,12947085,14241082,15966721,18060810,19847314,21794616,24432434,26632510,28491074,29926698,31302896,33558368,34962355,34636504,35030763,34952262,34844459,32979245,26499652,30118416,31758701,33369277,32595146,37115978,39006543,37480479
United Arab Emirates,ARE,Fixed telephone subscriptions,IT.MLT.MAIN,,,,,,,,,,,,,,,,25808,36061,49830,72082,96386,120591,142591,163098,177841,188806,207052,220678,247800,296143,352730,396435,437503,491549,553206,615124,672330,738074,835090,915223,975178,1020097,1052930,1093654,1135758,1187734,1236860,1309683,1385523,1595991,1580148,1479485,1825496,1967486,2086015,2103036,2258646,2285809,2320837,2341392,2362602,2380866,2242982
Argentina,ARG,Fixed telephone subscriptions,IT.MLT.MAIN,914656,914656,914656,914656,914656,1100000,1100000,1100000,1100000,1100000,1287000,1287000,1287000,1287000,1287000,1651000,1678000,1692000,1728000,1797000,1879000,2199000,2361350,2271525,2599607,2710894,2859209,2965970,3175756,3084000,3026732,3131235,3594533,3982435,4986887,5714158,6262637,6826799,7095464,7223168,7894205,8131435,7708568,8603869,8760566,9441673,9459794,9500000,9742833,9768135,9914208,9722525,9455639,9662084,9822465,10073125,10164849,9744368,9764014,7757243,7356165,6903068
Armenia,ARM,Fixed telephone subscriptions,IT.MLT.MAIN,,,,,,,,,,,,,,,,190000,210000,250000,270000,290000,300000,340000,360000,380000,400000,420000,440000,470000,501000,530000,560000,572100,578400,583460,587113,582800,579500,567800,556600,544197,533387,531456,542846,563679,578973,594404,603900,624700,626600,599900,592300,586943,583685,578450,572772,551366,531624,501013,477932,451571,427539,418122
