Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,398268156.4,473296089.4,579608938.5,684245810.1,757039106.1,864301676,948994413.4,1065363128,1225810056,1305474860,1362067039,1508659218,1659776536,1680223464,1849162011,1839385475,1826312849,1990837989,2180446927,1880837989,2363966480,2293016760,2726368715,2464860335,2313407821,2391955307,2498994413,2563575419,2688324022,2838379888,2848547486,2921620112,2987486034,3215655667,2541919139,3033186791
Africa Eastern and Southern,AFE,GNI (current US$),NY.GNP.MKTP.CD,17308771402,18088580085,19208598271,20828316814,22517019040,25025065645,27150703538,29960949931,32362915053,36399402770,39756604821,43608236251,46957575076,61194776720,75757561386,80392891738,80424172246,89802912253,98260681339,1.1796E+11,1.54594E+11,1.61385E+11,1.52281E+11,1.63287E+11,1.50987E+11,1.24781E+11,1.39825E+11,1.72875E+11,1.88367E+11,2.03364E+11,2.35172E+11,2.54024E+11,2.20953E+11,2.1965E+11,2.27684E+11,2.58376E+11,2.56899E+11,2.70721E+11,2.54903E+11,2.50521E+11,2.71371E+11,2.46418E+11,2.52796E+11,3.38485E+11,4.21909E+11,4.91441E+11,5.50554E+11,6.27636E+11,6.66819E+11,6.89284E+11,8.2075E+11,9.20925E+11,9.34756E+11,9.42819E+11,9.65602E+11,8.91569E+11,8.66009E+11,9.97739E+11,9.84794E+11,9.79054E+11,9.10885E+11,1.05691E+12
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,548888848.9,560000022.2,557777806.7,766666706.7,815555562.2,1026666678,1428888871,1708888882,1402222182,1437777738,1784444427,1868886653,1631108938,1771108944,2202222229,2417777778,2611111162,3017777698,3371111038,3775743789,3716553247,3551514996,,,,,,,,,,,,,,,,,,,,,,,,,,,,12120176205,15661395679,18170576454,20235386309,20636233967,20548204591,20178945326,18199126228,19145017023,18610257350,19205014965,20332384125,14910923352
Africa Western and Central,AFW,GNI (current US$),NY.GNP.MKTP.CD,10172829167,10894064402,11765240741,12553333439,13679887109,14637803511,15662708249,14067504612,14379204476,16344983088,22713419431,19812710232,23957581937,29588732499,42652772864,49907185735,60300909530,63524069318,69762619218,86672628932,1.06188E+11,2.07147E+11,1.84063E+11,1.3527E+11,1.11796E+11,1.13575E+11,1.04318E+11,1.05879E+11,1.06016E+11,96712782935,1.14944E+11,1.11154E+11,1.11523E+11,92596051765,81242644284,1.02165E+11,1.13688E+11,1.15259E+11,1.17665E+11,1.2664E+11,1.24245E+11,1.32154E+11,1.59627E+11,1.83645E+11,2.27406E+11,2.80286E+11,3.75954E+11,4.35177E+11,5.29429E+11,4.73496E+11,5.54864E+11,6.30725E+11,6.88943E+11,7.79733E+11,8.59059E+11,7.44748E+11,6.71664E+11,6.59374E+11,7.33477E+11,7.66096E+11,7.56339E+11,8.06929E+11
Angola,AGO,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6684491979,6684491979,6684491979,6684491979,10026737968,10026737968,10603784541,3498025673,3237547175,1943279030,4771491965,5829677654,6730621460,5537462252,4780892936,7448734815,7375076435,13650938445,16086223836,21068458073,32940067470,46203157421,57667405227,74821118402,63484003236,73815311614,99943407585,1.14825E+11,1.23741E+11,1.28909E+11,82784875171,47241256785,64733551804,71783442934,63042950936,49106329133,62080347392
Albania,ALB,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1860538012,1898450133,2097426250,2081196250,2051436250,2252990000,2026653750,1077859028,617074990.2,1219215469,1894751525,2436364853,3271323622,2308847103,2622487166,3287389862,3585007222,4048094111,4457186384,5762066193,7353974653,8214104794,9158292067,10975296230,12946374022,11852739421,11807765688,12894104016,12228065466,12996539294,13349419700,11521808375,12053832974,13051480688,15137993151,15200249154,14881636667,18006189075
Andorra,AND,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3462263517,,
Arab World,ARB,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,47472309573,53984442182,64178403705,80935982164,1.58459E+11,1.80661E+11,2.27428E+11,2.57986E+11,2.83584E+11,3.77354E+11,5.12112E+11,5.17083E+11,4.86792E+11,4.63411E+11,4.71122E+11,4.64732E+11,4.55575E+11,4.85339E+11,4.87581E+11,5.19489E+11,7.31545E+11,4.81297E+11,4.7662E+11,4.85448E+11,5.0251E+11,5.59133E+11,6.06563E+11,6.55374E+11,6.37329E+11,7.00061E+11,7.96751E+11,7.84177E+11,7.92432E+11,8.73516E+11,1.04447E+12,1.27916E+12,1.53444E+12,1.79721E+12,2.25374E+12,1.96592E+12,2.29499E+12,2.51461E+12,2.76817E+12,2.82993E+12,2.89035E+12,2.54574E+12,2.52998E+12,2.60973E+12,2.80059E+12,2.81431E+12,2.50582E+12,
United Arab Emirates,ARE,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09429E+11,1.08376E+11,1.10737E+11,1.24292E+11,1.48532E+11,1.83504E+11,2.26854E+11,2.66289E+11,3.19279E+11,2.56161E+11,2.89704E+11,3.50801E+11,3.8491E+11,4.00681E+11,4.14764E+11,3.72018E+11,3.71352E+11,3.93294E+11,4.28474E+11,4.20059E+11,3.4901E+11,
Argentina,ARG,GNI (current US$),NY.GNP.MKTP.CD,,,25083407627,18744951948,26267861213,29078234021,29796191128,24344243039,26044571827,31036571603,30396317997,33634600191,34199500220,52722220654,72679890117,53148109438,51185002823,56339203222,57716474116,68626165139,76286574003,76842107526,79243829293,98072174235,74996801895,83672502114,1.05922E+11,1.05943E+11,1.20716E+11,70219462542,1.3515E+11,1.83857E+11,2.24531E+11,2.33744E+11,2.53743E+11,2.53363E+11,2.66648E+11,2.86641E+11,2.91542E+11,2.76059E+11,2.76656E+11,2.6097E+11,92763789033,1.22452E+11,1.46362E+11,1.76153E+11,2.24897E+11,2.79994E+11,3.52615E+11,3.22744E+11,4.09192E+11,5.1501E+11,5.33074E+11,5.40186E+11,5.15532E+11,5.83615E+11,5.45251E+11,6.27201E+11,5.06094E+11,4.30167E+11,3.75536E+11,4.77412E+11
