Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,2.050104578,2.401994885,1.995695111,2.527245084,2.2133159,2.192952356,2.06305572,2.14555125,2.08691933,2.210722335,2.485091225,2.909319589,3.496627232,3.819345152,3.529575054,3.374714971,3.395748344,3.6914456,3.807137329,3.824271255,3.857887547,3.456906896,3.755312153,4.987515395,5.241509087,5.246659118,4.817209979,3.520853945,2.927305642,3.05965107,2.572447534,2.175714125,1.861447321,1.832569028,1.827248055,2.278817885,2.008164346,1.96490177,2.035553147,1.777117447,1.869086054,1.8377263,1.855790205,1.836224715,1.969034992,2.007635891,1.594444419,1.555641303,1.590047937,1.77492701,1.817529165,1.634345678,1.427209531,1.484722169,1.118114406,1.101843337,1.136263019,1.008492037
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,1.629606099,,,1.868910256,1.610824742,1.722065728,2.046086957,2.011474793,,,,,,,,,,,,,,,,,,,,,,,,,,,2.431257869,1.992065699,1.896233996,2.566267352,2.335545702,2.087412553,1.945835694,1.821345454,1.17541612,1.076949768,1.298012878,0.994575823,0.956772141,0.9452268,1.006746292,1.118230603,1.358856927,
Africa Western and Central,AFW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,1.319918021,1.31656642,1.436640248,1.471689195,1.371937917,,5.553581275,6.446817105,4.0003886,3.155024092,3.857710908,3.854093119,3.371783566,5.641638852,4.345497916,4.31470742,3.824975787,3.225345442,2.644433824,2.575454852,2.194807965,2.080790016,1.591903981,1.538873791,1.505594614,1.217473512,1.267626415,1.125226995,1.178660865,1.166399833,1.147040415,1.374072339,1.046225286,0.828096956,0.747621659,0.754609416,0.807800466,1.003134978,0.843197494,1.039432792,1.114340909,0.957623727,0.890066379,0.732377038,0.690591738,0.754712489,0.872166452,0.972655931,0.877171375,0.847865372,0.760508198,0.819636079,0.794632098,0.717753077,0.897885262,0.883374127,0.905132968,0.867934016,1.013218292,1.187561466
Angola,AGO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.72E-05,1.73E-05,22.25,21.9805,19.43233333,17.46366667,7.1025,5.682830543,17.52258908,5.709280691,4.707392768,2.447848157,5.972268207,2.642011881,17.33469221,6.392603154,4.524353815,2.869932445,3.761479074,3.471180187,3.692240947,3.761495305,3.114054493,3.573120364,4.709610048,4.177584566,3.255660351,3.236659499,4.455239422,4.698454516,3.105426293,2.733340655,2.507985456,1.871775866,1.643740283,1.444163082,1.132059821
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,6.052021633,5.848317053,5.651595745,5.44128199,6.117504543,5.651426199,5.626186504,5.862228923,5.617316628,5.167612724,5.88830072,5.791270422,4.670887824,3.199451067,2.54781906,2.053587359,1.379029627,1.28308078,1.238242561,1.249210099,1.246360242,1.309291375,1.320034494,1.336842924,1.381157942,1.350004971,1.567769089,1.820765344,1.984868857,1.51721714,1.558591893,1.528266338,1.487082577,1.408982101,1.346515991,1.162303864,1.103581009,1.108696386,1.160544785,1.299676337,1.25826801,1.415635927
Andorra,AND,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.777087726,4.632189579,5.257323355,3.840471999,4.759899814,6.050344102,5.865765948,5.960860028,7.319623077,8.08345471,8.239256434,8.034700472,7.516732516,7.982250612,,,,10.80844422,10.59533608,9.653917274,8.564017714,9.937428043,12.11154159,11.07117655,11.58701672,10.49445836,,8.747278746,8.060832477,7.69686756,,11.59141639,8.739089848,7.90521951,7.443674408,6.787452439,6.104853866,6.512082718,7.38191565,6.422258129,6.356511837,6.313711396,5.835110436,5.517387149,5.11425753,4.662873802,4.377627194,4.496758512,4.117715574,5.159116939,4.928924385,4.91922217,5.024944418,5.782269073,6.404306345,7.404275516,6.084850459,6.327870665,6.0802122,5.520595041,5.865957861,4.590772416
United Arab Emirates,ARE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.759061481,8.62972121,7.669537998,8.323722245,5.612105523,4.875531805,4.692306267,4.61147764,3.656470678,3.225974473,3.28052137,3.668022649,5.457107773,6.038592208,5.466314528,5.075556494,6.034686251,5.643651352,,,,,,,
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.55,2.14,2.66,1.68,1.15,1.07,1.168,1.4,1.685714286,1.9375,1.877777778,1.807692308,1.823809524,1.848571429,1.659183673,2.041958042,3.781291173,4.008600096,4.719144058,4.673356256,3.098958333,3.465346535,2.704557935,2.738812785,2.162039144,2.299717248,2.313678749,2.28438688,2.124939223,1.880365592,1.450909212,1.506926555,1.421222233,1.422802901,1.457038533,1.473073107,1.241227264,1.140139111,1.136318022,1.220359548,1.148822677,1.184233542,1.091880479,1.060895057,0.883295359,0.847154784,0.788233877,0.792548175,0.762756475,0.886508577,0.814878105,0.764287094,0.784824721,0.83773643,0.878100919,0.850128583,0.813140078,0.856137916,0.745498855,0.706186671,0.726855652,0.565318001
