Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.3620981,175.3441296,168.781911,163.2673599,164.5590143,145.0939457,140.3829161,133.2004556,132.7958459,132.4331021,145.0757576,141.0540602,139.9540997,139.1235999,137.5628965,135.4735883,154.4260906,156.654561,161.8881835,162.8702962,145.8333333,142.239281,143.8121048,148.4298674,145.0107741,116.5727961,137.1643391
Africa Eastern and Southern,AFE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.10019339,41.34909051,42.20904316,44.94757795,47.26196092,49.3253512,48.75713617,46.43450106,47.20859793,45.42473136,63.10290553,64.03625578,60.02946556,57.38895938,58.27232656,60.65337143,61.05370839,67.02657592,74.65678887,64.77833605,64.49078077,64.85861018,62.8416402,62.47239294,59.69289978,54.44615073,50.98839221,50.01970733,52.97797783,50.1242823,46.56136332,52.31217992
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,11.15702658,12.55060956,14.22764443,26.03551143,26.94444795,32.67108262,27.14285731,20.98273546,24.11003307,25.07886423,21.72811007,27.06313745,32.86908104,27.69230879,28.86598016,26.94835767,28.08695666,26.48607983,24.71380403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Trade (% of GDP),NE.TRD.GNFS.ZS,33.21939422,33.08080179,29.38159144,29.86924477,31.37912831,33.91205466,31.80679587,34.7686483,33.66060008,34.60294487,30.39289129,33.44714226,32.83211726,38.35064313,46.7619348,46.35257518,46.86685629,50.42243675,47.16882625,47.53118875,51.32629903,31.32249869,27.73534449,25.32464581,25.95179421,27.80894473,25.08783064,31.44329248,28.63157011,40.22466397,37.85217507,41.11258939,41.95410635,39.19623735,36.50591609,47.2225324,47.42758679,56.06870314,47.61902138,43.90685557,56.48041336,56.55041379,50.36578797,55.56918923,44.71265548,47.03370013,51.31529312,49.95264542,51.21121342,47.32854742,53.47543355,60.79523131,55.76790468,44.0048481,43.54267048,37.72786413,36.29729876,40.17662032,44.42662055,45.77074501,30.01655452,36.71106562
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.5471095,150.3357947,105.3015923,103.9012296,103.5799471,106.5909621,94.62515933,108.0600679,121.3647085,122.4461262,104.1236483,99.98250633,91.80009734,86.81193276,79.33292278,62.88851609,53.37015807,52.25682716,66.37801333,57.82953812,51.88744592,60.47306534
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,47.4940925,46.10046628,44.81056161,40.4106676,38.11568302,35.93482397,31.63730488,32.15956392,36.89787074,40.06608646,39.4369634,36.07052006,108.7854722,80.51833277,53.10258474,47.61059487,44.89544472,45.42555625,48.13753482,51.01103036,63.45407313,66.49102403,68.52506822,67.02056104,67.04718731,70.87234678,74.26709024,83.20208011,77.4517515,75.0949144,76.54339024,81.21856893,76.51020062,75.87371385,75.4078456,71.80100634,74.80986282,78.194274,76.80811813,76.27919462,59.95174948,74.53566473
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,59.8081337,60.33153025,63.16049155,83.32583626,74.69838966,83.34008882,77.20452534,81.63931553,79.77648751,82.10624124,86.80666172,88.56843737,84.26175127,75.99932046,72.32386745,64.87555622,57.2107839,59.46266446,61.41125186,66.25216396,65.90639295,69.22380254,64.37096724,59.96445177,58.22411804,61.62983064,61.15769468,69.42918991,68.0509632,68.09421042,72.60912122,74.15459669,74.43076875,81.15103737,85.57534033,89.7103976,89.99189469,94.10025989,98.07917096,90.39130104,87.6105169,90.4626286,91.57710638,90.62948523,88.03189806,84.09421518,78.31803502,82.56403505,82.05218951,82.05259908,73.81160957,60.17715636
United Arab Emirates,ARE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86457993,93.07165881,102.3001695,116.6226125,119.5528716,119.4706696,136.7981529,148.513544,153.4619444,143.8774751,151.6659419,159.9704706,161.1004825,164.0295099,169.4762367,170.9030878,172.803425,157.9205731,167.3835649,166.5718993,
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,15.20809609,11.98989231,14.07552565,15.78090624,11.12742968,10.37645741,11.64260542,12.49266037,11.88816489,12.79742663,10.33744408,12.61518892,14.0356432,13.32216851,13.19157986,11.80272429,15.09688462,16.94228657,14.32379637,12.84068464,11.54567246,14.29297748,15.6114861,14.98767011,12.34638143,18.00942507,14.48603279,15.44896988,15.74345861,19.6377977,14.990859,13.75305416,14.73098059,16.22315145,18.13434587,19.77142309,21.50646841,23.33617884,23.35002797,21.38274496,22.62244478,21.85225545,41.75272436,40.64474803,40.69264611,40.55127097,40.43347987,40.94517062,40.40267338,34.05712691,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.09388785,25.28960114,30.76253595,32.63061505,30.21979989,32.97948189
