Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,29.46272372,30.28509038,30.04423061,30.53413702,31.27719634,32.21624106,33.28603887,33.43600629,35.26816952,35.87520233,36.85965266,42.26745217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,0.156862745,0.194805195,0.258064516,0.256410256,0.384615385,0.510529675,0.637429883,0.637429883,0.699745547,0.698856417,0.759493671,0.758533502,0.739570164,0.720606827,0.695322377,0.670037927,0.651074589,0.625790139,0.568900126,0.505689001,0.442477876,0.379266751,0.316055626,0.252844501,0.189633375,0.189633375,0.1517067,0.1517067,0.1517067,0.1517067,0.1517067,0.139064475,0.140593047,0.142801506,0.143734483,0.14384726,0.143135979,0.1418074,0.143734483,0.14317324,0.13276064,0.209690023,0.123520329,0.145854657,0.169122357,0.912240185,1.297151655,0.219399538,0.286154241,,,,,,,,,,,,
Africa Western and Central,AFW,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,0.436556992,0.594699418,0.696429797,0.809659944,0.922076562,1.130284906,1.204566396,1.290150137,1.343575595,1.609130835,1.791998114,2.074069234,2.087282512,2.419265306,2.526687428,2.700003313,3.218938787,3.510737803,3.754847986,3.859442196,4.31741176,4.361537591,4.450778174,4.282805946,4.237145076,4.02391867,4.182065048,4.253194211,4.383498431,4.385001875,4.318848499,4.69274518,4.727423739,4.763861283,4.700523412,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,2.996254682,6.092592593,7.352941176,10.24363636,10.83032491,13.31785714,15.90106007,18.53146853,22.06896552,24.52758621,27.95862069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,67.12962963,87.1559633,86.36363636,94.80812641,94.15217391,99.24210526,109.0368852,114.38,115.372549,115.4510557,126.4150943,137.037037,149.3430657,156.1938959,170.8703375,170.4347826,172.4137931,173.2418525,173.2418525,172.7350427,173.4693878,174.8726655,176.910017,173.1748727,168.9303905,173.1748727,180.1694915,196.6101695,207.9037801,212.4352332,163.8235294,155.7093426,156.8284229,157.712305,154.9046794,144.0727903,136.8512111,141.2478336,142.1143847,139.9134948,132.3010381,130.017301,102.3702422,131.0380623,150.9665428,135.3082192,126.5916955,121.9344262,,,,,,,,,,,,,
Andorra,AND,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4370.37037,4412.5,4589.74359,4636.363636,4671.052632,4584.415584,,,,,,,,,,,,
Arab World,ARB,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,20.37063314,21.33166472,22.43404086,23.57867806,24.7173907,26.66209445,30.44109047,31.85425827,33.50881598,34.80888272,35.20052827,38.09100575,40.30711794,42.51160907,45.4627753,47.0908654,48.8273362,52.71260684,57.6705063,60.87145735,65.46694525,69.33550443,73.32663208,76.80358965,83.42513469,87.08902825,89.29694941,91.191614,89.9205467,94.68484135,97.37566932,96.15363043,101.2812077,103.8452351,112.2664782,111.9250703,113.5813319,115.2138202,126.8137533,153.9730096,168.4430739,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,244,248,252,256,260,220,223.3333333,226.6666667,230,200,202.8571429,205.7142857,182.5,164.4444444,136.3636364,138.1818182,128.3333333,130,131.6666667,100,85.26315789,91.11111111,72.17391304,70,65.38461538,59.31034483,60,60.68965517,61.37931034,51.42857143,52.28571429,45.78947368,41.5,44.04761905,63.02325581,61.52173913,60.44444444,76.38888889,63.95348837,63.33333333,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,64.52653654,67.77893639,71.42857143,75,75.75387322,74.04664939,73.85524372,71.27583749,67.57539483,64.75,65.76923077,67.17692308,69.23076923,69.23076923,69.23076923,69.23076923,69.23076923,66.53846154,65.92307692,64.11538462,81.92307692,75.44444444,74.74074074,75.44444444,75.55555556,83.33333333,91.41791045,101.5595252,100.5289006,99.52963311,98.51949025,97.51726713,96.50427668,95.48855471,94.48441247,93.48816699,92.49633968,91.52233364,90.54917914,89.58031838,88.62538744,87.68932596,,,,,,,,,,,,,,,,,,,
