Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,210446927.4,249832402.2,354636871.5,397430167.6,580837988.8,1402849162,1446703911,1546480447,1607318436,926927374.3,768826815.6,836815642.5,966703910.6,923050279.3,858039106.1,974614525.1,974055865.9,1063111732,3589044693,4296239004,4724341246,5126033520,6017988827,2453184358,1394245810,5916759777,2044916201,1376733346,1349605841,1252057109,1138316869,1124013924,1231245004,1204403839,863180742.6,1060885928
Africa Eastern and Southern,AFE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,16371618246,19677447893,24089417784,35578469923,38169306842,31355210232,26960741110,27260262214,21638576707,23033648368,27770804183,32992816753,33315089823,35762709907,34641087924,37355746836,38539038374,44575087848,52540552308,53761606354,57791708586,57077203428,54476409955,52438967941,52366904057,55346761076,70623257031,92459343615,1.12291E+11,1.32899E+11,1.62692E+11,1.96936E+11,1.65966E+11,1.92217E+11,2.33184E+11,2.48604E+11,2.56539E+11,2.57757E+11,2.23288E+11,1.95173E+11,2.09981E+11,2.31756E+11,2.22864E+11,1.85673E+11,2.37633E+11
Afghanistan,AFG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,629300000,773800000,897300000,829100000,890900000,1204700000,921600000,1138800000,904500000,731800000,623500000,,,,,,,,,,,,,,,,,,,2978918383,3215894021,4688147552,5650088842,7991393125,8526069938,6748012293,7246177416,6209193784,6716214782,6620779250,6158190050,5877640991,
Africa Western and Central,AFW,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,17362705259,20676879175,21870590012,26913138005,32340647050,26069876663,21125851109,17585415467,16650103433,12659907578,13569621525,14083632090,13144934548,16013486814,19516133340,18804209150,17907177756,17391086507,13858749246,14014223069,15290463526,16496363569,23907008737,23234592400,27585600967,27909007575,37658350405,39458379543,56791016408,56512229428,72314738390,94318780899,78741981057,1.06707E+11,1.37347E+11,1.32486E+11,1.32731E+11,1.39672E+11,1.22262E+11,1.0209E+11,1.01708E+11,1.18485E+11,1.46137E+11,1.30137E+11,
Angola,AGO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,1401000000,1086000000,1303000000,1372000000,1338000000,1578200000,1347200000,1988034000,1462600000,1454100000,1467668000,2040461000,2597000000,2079350000,3109080000,3039510000,3179180000,3760118415,5480121172,5831784556,8353237654,8777632624,13661464164,20982185983,22659935299,16666858027,20228447302,23703843194,26330987036,28580270906,20692537061,13040490878,14463243324,15797847354,14127058397,9543140273,11794847514
Albania,ALB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,353900000,383200000,437700000,382800000,353200000,344100000,316600000,315600000,382300000,455800000,455900000,281000000,540500000,601500000,601000000,679700000,922000000,570600000,654210000,783100000,921000000,1151000000,1237300000,1463316336,1837926826,2117458690,2499761212,3419700000,4356803971,3796274373,3775932876,4460790005,3981753339,4029275073,4170432937,3403344745,3670525694,4105844352,4544969329,4532093325,4328412669,6007913365
Andorra,AND,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473761457,1222357791,
Arab World,ARB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,85650228968,99574727282,1.16453E+11,1.44526E+11,1.68836E+11,1.68275E+11,1.58928E+11,1.51626E+11,1.27066E+11,1.06956E+11,1.10363E+11,1.21014E+11,1.26592E+11,1.38372E+11,1.4768E+11,1.64362E+11,1.57784E+11,1.48415E+11,1.64946E+11,1.73016E+11,1.75032E+11,1.77274E+11,1.70892E+11,1.79459E+11,1.8349E+11,1.95348E+11,2.18153E+11,2.80882E+11,3.45679E+11,3.88157E+11,4.88033E+11,6.37142E+11,5.59528E+11,6.13805E+11,6.82504E+11,8.01443E+11,8.57712E+11,8.69367E+11,7.70981E+11,6.89671E+11,7.14516E+11,7.60028E+11,7.86611E+11,6.79858E+11,7.75226E+11
United Arab Emirates,ARE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,2765000000,3799000000,3488000000,6028000000,9394000000,8431000000,4859000000,4119000000,4118000000,3518000000,4406000000,5343000000,4892000000,3864000000,3726000000,7559000000,13794800000,15632500000,20162200000,18804317000,22283200000,28553500000,29530900000,24103200000,23889100000,19157800000,8473100000,13134200000,21311100000,27300100000,32587900000,42524500000,54596200000,37146134000,54158763702,70768777913,65042742213,71292993120,62898966094,57594229886,53543776749,64108936659,62544230316,46928338267,40314811522,59291110550
