Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7125715,65.82246445,65.79746945,65.72367396,65.60673952,65.47132233,65.44092645,65.39958681,65.31814655,65.57406793,65.74426807,65.95108092,65.91268592,65.66098142,65.69968416,65.10284822,64.60547858,64.00358452,63.75447879,63.4665584,62.87189918,62.18262739,61.85694489,61.26612308,60.72999656,60.39393894,60.01881689,59.61490557,59.30738456,,
Afghanistan,AFG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.43000031,63.65000153,64.41000366,64.44000244,64.30000305,64.68000031,64.98000336,65.19999695,65.45999908,65.83999634,66.29000092,64.41999817,63.70000076,63.27000046,62.15000153,61.27999878,60.13999939,59.29000092,56.88999939,54.58000183,53.56000137,51.40000153,49.81999969,48.40999985,47.06999969,45.81000137,43.99000168,43.13000107,42.5,,
Africa Western and Central,AFW,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.31589284,59.1938295,59.09837203,58.93146285,58.73075309,58.42797217,58.06896252,57.69180397,57.35911004,56.96049982,56.41123897,55.6613361,55.0399409,54.3454942,53.69819967,53.05031297,52.26397317,51.38252747,50.49248475,49.50897491,48.56322823,47.45617995,46.38721722,45.05381987,43.86193068,43.4866696,42.79504683,42.16592214,41.54159849,,
Angola,AGO,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.83000183,39.90000153,40.20999908,40.09000015,39.56000137,38.97999954,38.54000092,38.15999985,37.86000061,37.5,37.22000122,36.56000137,36.45000076,36.16999817,38.11000061,40.20999908,42.20999908,44.36999893,46.50999832,48.88000107,51.22000122,51.22999954,51.18000031,51.13999939,51.15999985,51.15000153,50.99000168,50.90999985,50.72999954,,
Albania,ALB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.90999985,58.11000061,57.61999893,57.08000183,56.36000061,55.93999863,56.06000137,55.25,54.02999878,52.81999969,51.31000137,50.15999985,49.27000046,48.34000015,47.38000107,46.29999924,45.54999924,44.65999985,44.04999924,42.08000183,45.38999939,46,44.20000076,42.25999832,41.27999878,40.04000092,38.08000183,37.29000092,36.41999817,,
Andorra,AND,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.32269776,34.04761979,33.16505145,32.93474416,32.34885249,31.68033039,31.01302206,30.26445196,29.67387607,29.91757884,29.15946076,28.40413697,28.4490097,28.52451479,27.61820991,26.79616291,26.18057294,25.31571695,24.18683943,23.06417811,22.71515772,21.86175815,21.74320561,21.54174541,20.90141302,20.39622312,19.83713217,18.66240507,18.02220967,,
United Arab Emirates,ARE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.460000038,8.369999886,8.239999771,8.130000114,8,7.989999771,7.960000038,7.920000076,7.920000076,7.900000095,7.25,6.670000076,6.110000134,5.630000114,5.190000057,4.78000021,4.389999866,4.039999962,3.680000067,3.380000114,3.079999924,2.789999962,2.50999999,2.25,2.00999999,1.809999943,1.620000005,1.460000038,1.389999986,,
Argentina,ARG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.340000004,0.400000006,0.449999988,0.449999988,0.620000005,0.75999999,0.800000012,0.75999999,0.74000001,0.670000017,0.829999983,0.980000019,1.399999976,1.5,1.279999971,1.049999952,1.120000005,1.200000048,1.230000019,1.269999981,0.639999986,0.620000005,0.620000005,0.550000012,0.25999999,0.129999995,0.059999999,0.100000001,0.059999999,,
